STATION,LAT,LON,ELEV(M),X,Y,Z,TEMP,DAY_OF_YEAR
722075,,,,,,,30.0,1
722075,,,,,,,26.4,2
722075,,,,,,,27.3,3
722075,,,,,,,35.1,4
722075,,,,,,,36.7,5
722075,,,,,,,36.1,6
722075,,,,,,,42.9,7
722075,,,,,,,38.7,8
722075,,,,,,,21.7,9
722075,,,,,,,17.9,10
722075,,,,,,,21.6,11
722075,,,,,,,28.8,12
722075,,,,,,,28.9,13
722075,,,,,,,22.8,14
722075,,,,,,,25.3,15
722075,,,,,,,30.6,16
722075,,,,,,,28.8,17
722075,,,,,,,28.7,18
722075,,,,,,,23.5,19
722075,,,,,,,7.3,20
722075,,,,,,,3.4,21
722075,,,,,,,18.1,22
722075,,,,,,,27.1,23
722075,,,,,,,13.5,24
722075,,,,,,,-2.2,25
722075,,,,,,,-3.9,26
722075,,,,,,,-0.7,27
722075,,,,,,,15.9,28
722075,,,,,,,4.4,29
722075,,,,,,,-16.4,30
722075,,,,,,,-16.9,31
722075,,,,,,,3.9,32
722075,,,,,,,18.0,33
722075,,,,,,,36.4,34
722075,,,,,,,39.4,35
722075,,,,,,,27.0,36
722075,,,,,,,31.2,37
722075,,,,,,,32.5,38
722075,,,,,,,8.2,39
722075,,,,,,,9.6,40
722075,,,,,,,23.1,41
722075,,,,,,,27.4,42
722075,,,,,,,31.2,43
722075,,,,,,,16.9,44
722075,,,,,,,31.1,45
722075,,,,,,,18.3,46
722075,,,,,,,16.4,47
722075,,,,,,,25.5,48
722075,,,,,,,21.5,49
722075,,,,,,,15.8,50
722075,,,,,,,29.4,51
722075,,,,,,,28.3,52
722075,,,,,,,25.7,53
722075,,,,,,,33.2,54
722075,,,,,,,32.2,55
722075,,,,,,,11.3,56
722075,,,,,,,17.1,57
722075,,,,,,,23.4,58
722075,,,,,,,17.8,59
722075,,,,,,,25.5,60
722075,,,,,,,28.1,61
722075,,,,,,,19.6,62
722075,,,,,,,3.0,63
722075,,,,,,,11.1,64
722075,,,,,,,15.6,65
722075,,,,,,,20.8,66
722075,,,,,,,27.2,67
722075,,,,,,,32.9,68
722075,,,,,,,34.8,69
722075,,,,,,,30.2,70
722075,,,,,,,33.4,71
722075,,,,,,,41.6,72
722075,,,,,,,53.0,73
722075,,,,,,,36.3,74
722075,,,,,,,33.1,75
722075,,,,,,,33.5,76
722075,,,,,,,33.0,77
722075,,,,,,,37.6,78
722075,,,,,,,39.2,79
722075,,,,,,,39.1,80
722075,,,,,,,40.9,81
722075,,,,,,,35.8,82
722075,,,,,,,41.7,83
722075,,,,,,,37.1,84
722075,,,,,,,34.2,85
722075,,,,,,,39.5,86
722075,,,,,,,52.0,87
722075,,,,,,,46.7,88
722075,,,,,,,40.5,89
722075,,,,,,,30.8,90
722075,,,,,,,34.6,91
722075,,,,,,,40.6,92
722075,,,,,,,43.8,93
722075,,,,,,,44.8,94
722075,,,,,,,43.6,95
722075,,,,,,,51.2,96
722075,,,,,,,56.5,97
722075,,,,,,,58.7,98
722075,,,,,,,57.5,99
722075,,,,,,,40.2,100
722075,,,,,,,41.1,101
722075,,,,,,,45.5,102
722075,,,,,,,40.2,103
722075,,,,,,,35.5,104
722075,,,,,,,34.2,105
722075,,,,,,,53.0,106
722075,,,,,,,56.6,107
722075,,,,,,,54.6,108
722075,,,,,,,46.5,109
722075,,,,,,,48.5,110
722075,,,,,,,58.0,111
722075,,,,,,,64.0,112
722075,,,,,,,57.1,113
722075,,,,,,,50.7,114
722075,,,,,,,53.4,115
722075,,,,,,,53.7,116
722075,,,,,,,41.5,117
722075,,,,,,,35.4,118
722075,,,,,,,44.6,119
722075,,,,,,,44.7,120
722075,,,,,,,48.3,121
722075,,,,,,,47.6,122
722075,,,,,,,48.4,123
722075,,,,,,,49.8,124
722075,,,,,,,58.5,125
722075,,,,,,,59.1,126
722075,,,,,,,50.1,127
722075,,,,,,,50.5,128
722075,,,,,,,59.2,129
722075,,,,,,,48.1,130
722075,,,,,,,48.0,131
722075,,,,,,,45.4,132
722075,,,,,,,49.7,133
722075,,,,,,,54.1,134
722075,,,,,,,60.3,135
722075,,,,,,,64.6,136
722075,,,,,,,60.0,137
722075,,,,,,,55.3,138
722075,,,,,,,64.4,139
722075,,,,,,,51.2,140
722075,,,,,,,48.2,141
722075,,,,,,,59.6,142
722075,,,,,,,66.8,143
722075,,,,,,,61.5,144
722075,,,,,,,71.5,145
722075,,,,,,,69.0,146
722075,,,,,,,62.1,147
722075,,,,,,,64.8,148
722075,,,,,,,60.3,149
722075,,,,,,,67.0,150
722075,,,,,,,68.7,151
722075,,,,,,,72.3,152
722075,,,,,,,62.8,153
722075,,,,,,,59.3,154
722075,,,,,,,64.0,155
722075,,,,,,,72.1,156
722075,,,,,,,68.9,157
